Employee Code,Employee Name,Email,Additional Email,Mobile Number,Secondary Mobile Number,Gender,Date Of Joining,Date Of Birth,Fax,Marital Status,Self Service,Employee Type,Office Location,Business Unit,Designation,Department,Grade,Parent Department,Primary Manager,Primary Manager Email,Bank Name,Branch Name,Account Holder Name,Account Number,Account Type,IFSC Code,Swift Code,PAN Number,Aadhaar Enrollment Number,Aadhaar Number,Present Address,Present State,Present City,Present Pincode,Present Country,Permanent Address,Permanent State,Permanent City,Permanent Pincode,Permanent Country,Status
EMP0001,David Dixon,david@example.com,brandy38@example.org,321-794-8924x1157,(259)938-7784x08016,Female,2023-01-09,1994-05-17,935-313-9332x87115,Married,Yes,Part Time,Andreaville,Marketing,Engineer,Sales,B,Engineering,Katherine Huang,sean96@example.com,"Allen, White and Underwood",New Tinaview,Brandon Todd,GB97EBCW86848339694775,Current,IFSC4578,SW629202,FLOvm1591p,041352560123,098910139916,"90321 Clark Union
Lake Andrewchester, RI 13804",Kentucky,East Charlesport,46414,India,"709 Holly Lock
West Michael, VA 62133",Oregon,Lake Emily,08109,India,Active
EMP0002,Joseph Wilson,awade@example.com,gmccullough@example.com,+1-456-542-8071x5084,001-575-794-5992x46610,Female,2022-07-10,1979-05-20,(833)276-9606,Single,Yes,Intern,South Caleb,HR,Analyst,Support,C,Corporate,Katherine Huang,hensontroy@example.com,Williams-Carson,Lopezland,Bianca Smith,GB88VNKA30089131934421,Current,IFSC2618,SW865284,rCZYh7610q,285124000348,559097765823,"22455 Higgins Junction Apt. 042
New Keith, MO 72391",Florida,Dannybury,06826,India,"6546 Cory Orchard
Rogersmouth, DE 63295",Delaware,Simmonsport,44420,India,Active
EMP0003,Lori Bennett,joneschristopher@example.net,brucesmith@example.com,+1-784-577-9361,392-963-5110x873,Other,2022-01-14,1997-10-14,(443)303-9213x7658,Married,No,Intern,Hernandezfurt,Tech,Engineer,Sales,B,Corporate,Katherine Huang,martha73@example.net,"Velazquez, Smith and Thornton",Lisaton,Shelly Morrison,GB15EMSJ71180132040752,Current,IFSC8253,SW646678,yHGcK2758f,891634896769,930024894517,"6602 John Stream Suite 007
Thomasland, TX 92080",Georgia,Robertmouth,51184,India,"2009 Crystal Cove
Jamesfort, DE 08386",South Carolina,Mendezmouth,85759,India,Inactive
EMP0004,Rachel Martinez,vlloyd@example.net,stonekristen@example.org,2679537510,608-399-3318x868,Male,2016-07-17,1992-06-28,(869)461-1611,Single,Yes,Intern,Port Seanchester,HR,Analyst,Support,C,Corporate,Katherine Huang,christian11@example.com,"Johnson, Bailey and Smith",Port Michael,Briana Smith,GB05VVXD04509322717542,Current,IFSC6458,SW355759,EssJO0355u,291189426223,583324560290,"64862 Evans Knoll
East Seanstad, SC 69865",Arkansas,Ortizchester,95945,India,"PSC 7354, Box 7121
APO AA 15201",Oklahoma,Port Jacqueline,52769,India,Inactive
EMP0005,Tyler Peterson,michaelwelch@example.org,sfischer@example.org,001-879-970-3414x892,273-286-4014,Other,2017-02-03,1985-12-20,368-296-7145x439,Single,Yes,Intern,Port Joseside,Tech,Manager,IT,C,Engineering,Katherine Huang,carloscallahan@example.com,"Taylor, Mills and Clark",South Stephanieside,Richard French,GB89JOLS22116697284576,Savings,IFSC2318,SW435601,uFPdC3778t,270930576081,160501904432,"16756 Mark Rue Suite 272
Davidburgh, NV 46267",Missouri,Romanfurt,96155,India,"3906 Jim Corner
West Brian, SC 89301",Idaho,New Kenneth,11855,India,Inactive
EMP0006,Shawn Gomez,sbrown@example.net,fcarpenter@example.com,001-273-454-0002x504,763-396-8373,Male,2021-10-08,1988-03-25,+1-715-358-7540x803,Married,No,Intern,Port Alice,Tech,Analyst,Sales,C,Corporate,Katherine Huang,larry64@example.com,Wiggins-Allen,Sarahland,Jon Kim,GB57ZNPO71113126379168,Current,IFSC8290,SW196083,Foirw6023u,618498347897,844301912633,"886 David Rue
Davidshire, MI 30590",Utah,Jeffreybury,08992,India,"57492 Lisa Plaza Suite 590
South Eric, HI 67409",California,Port Jamie,65609,India,Inactive
EMP0007,Nicholas Cabrera,lgomez@example.org,glester@example.net,4899577403,001-278-551-4296x3546,Female,2020-07-19,1992-10-26,6532573452,Single,No,Full Time,Ashleyton,Tech,Manager,IT,C,Engineering,Katherine Huang,johnsonbrady@example.org,"Murphy, Nicholson and Cooper",Taylorborough,Charles Collins,GB64UKXZ66064887091662,Current,IFSC2131,SW194187,QGUSj0829f,532302821691,972990456007,"273 Martin Terrace Suite 547
Smithhaven, MH 38279",Oklahoma,Maddenside,75277,India,"6165 Williams Groves
West Erinshire, UT 38482",Utah,Port Allison,45102,India,Active
EMP0008,Brian Holden,brendacortez@example.net,francisco25@example.net,7909925544,(696)520-2907x2507,Male,2018-11-25,1996-04-14,386-842-8212,Single,Yes,Intern,Bakerport,Marketing,Analyst,Sales,C,Engineering,Katherine Huang,sophia88@example.net,Branch-Lee,Moodytown,Brittney Guerrero,GB15ZSML70869305823570,Savings,IFSC4525,SW812480,lWAeK3934C,378132716644,659514070436,"097 Gallegos Crossroad Suite 506
Mccallberg, AZ 11181",Oregon,Michaelland,25506,India,"50562 Russell Divide Apt. 648
East Davidberg, PW 63532",Virginia,Lake Madisonton,73238,India,Inactive
EMP0009,Christopher Mcbride,millergreg@example.com,laurenmurphy@example.net,248-772-7820x928,437-993-7825,Other,2021-08-23,1992-11-10,001-980-781-8501x16959,Married,No,Part Time,Huntville,Marketing,Analyst,Support,B,Corporate,Katherine Huang,andrewblackwell@example.org,Gutierrez Inc,Lauraton,Rebecca Jackson,GB57CNBO59944976207436,Current,IFSC2889,SW610073,bwblz1511N,057877108640,811551702840,"82222 Sherry Road Suite 076
East Johnport, MA 22785",Kansas,Jeremychester,61174,India,"9029 Gloria Stravenue
East Andrew, GU 42879",North Carolina,North Brandonville,75605,India,Inactive
EMP0010,Jamie Johnson,rbradley@example.com,sandracox@example.org,+1-861-526-9516,263.963.7691x4485,Male,2020-12-04,1994-11-19,440.895.6180,Single,Yes,Intern,Port Robertfurt,HR,Manager,Support,A,Engineering,Katherine Huang,vmartin@example.com,Moore-Sellers,Kathleenville,Haley Fuller,GB94YPUQ03429546048606,Savings,IFSC6448,SW546830,iihNw4635k,069671168822,232308275945,"2585 Rhonda Streets Suite 365
Fryhaven, ME 54253",Nebraska,Lake Teresaberg,01145,India,"399 Joseph Street
South Christopher, AZ 01875",Delaware,Lisafort,42228,India,Active
EMP0011,Dawn Tucker,sandrahoffman@example.org,anthonyday@example.org,269.837.6409x26279,396-653-8707,Male,2016-05-25,1986-09-28,978.367.4238x52492,Single,Yes,Full Time,South Phillipchester,Marketing,Analyst,Support,C,Corporate,Katherine Huang,phillipsmichael@example.org,Barrett Inc,New Angelica,Scott Grant,GB24YTPW17855103374430,Savings,IFSC3038,SW765845,fetKB7585o,562343754692,165873556456,"74172 Cantu Summit Apt. 573
Lake Patrickfurt, NH 67810",New Jersey,Lake Reginald,41291,India,"017 Long Forks Suite 090
Davisborough, VA 43336",Idaho,East Laurastad,04205,India,Active
EMP0012,Aaron Wilson,christopherowens@example.org,ljones@example.org,666.270.6360,001-655-357-2981,Other,2017-07-12,1976-07-08,001-814-302-9263x953,Single,No,Full Time,Lake Rhondaville,HR,Manager,IT,C,Corporate,Katherine Huang,david46@example.org,"Wagner, Wilkins and Boyer",Wrightfort,Jennifer Griffin,GB54ARMY73634772374579,Savings,IFSC4030,SW852996,tHORh2813d,250592763673,260583528899,"939 Johnson Oval Suite 830
North Dennismouth, VI 88870",South Carolina,Lake Gabrielle,99754,India,"573 Nathan Ville Suite 767
Meghanmouth, CA 19714",Iowa,Port Ericfurt,61302,India,Active
EMP0013,Anthony Sullivan,nashbrenda@example.com,cynthiayu@example.net,(987)246-8811,269.754.1039,Female,2021-10-17,1980-09-04,(874)719-7436,Single,Yes,Intern,Port Brittany,Tech,Analyst,Sales,C,Corporate,Katherine Huang,hbrown@example.com,Flores-Daniel,North Ryanberg,Stacey Wilson,GB83NHBU44615459388058,Current,IFSC2146,SW331556,bOqvi8027w,198614918192,708351832363,"2458 Jason Village Suite 248
North Donnamouth, ME 93087",Massachusetts,North Cherylport,15529,India,"88571 Shaw Village Suite 119
Barajasburgh, LA 32094",South Dakota,Nunezport,04609,India,Active
EMP0014,Angela Daugherty,logan84@example.org,melissaschwartz@example.org,990-366-4934x587,(452)980-3760x31412,Other,2015-08-19,1975-08-20,6588618374,Married,No,Part Time,Ruizton,Tech,Manager,Support,B,Corporate,Katherine Huang,johnwalker@example.com,Lopez LLC,East Jessechester,Michele Moore,GB04YRES23840730626863,Savings,IFSC7410,SW309039,gifIa6887f,036746564129,330081737298,"5548 Anderson Neck
New Randy, NJ 40008",New Hampshire,South Lori,92380,India,"PSC 5966, Box 9684
APO AP 99741",Oregon,East Ryan,35255,India,Inactive
EMP0015,Kelly Mccullough,qstark@example.com,stephen80@example.net,247.510.3914,(492)659-4000,Female,2020-01-20,1988-03-02,267.455.1961,Married,Yes,Intern,New Amandastad,Marketing,Manager,IT,C,Corporate,Katherine Huang,jack27@example.net,Carr PLC,Willisbury,Amy Merritt,GB23BUUU28164593052547,Savings,IFSC6608,SW655193,PeDZW7954k,184869762962,191274164415,"09021 Cruz Orchard
West Crystalberg, CO 92631",Montana,North Jason,04119,India,"84668 Julia Mission Apt. 823
Port Christopher, NJ 38224",Louisiana,Jasontown,83909,India,Inactive
EMP0016,Sherri Fowler,kendrawall@example.net,shawnawilson@example.com,6529591153,877-388-1157x66878,Male,2023-03-09,1988-07-06,226.885.2122,Married,Yes,Full Time,Lake Carlosview,HR,Analyst,Sales,C,Engineering,Katherine Huang,umorales@example.net,"Conway, Owens and Reed",Lake Patrickstad,Jose Wright,GB36CPDL69380881095052,Current,IFSC7367,SW978351,WAaZP5477X,375207826497,307992975956,"663 James Garden
West Sydney, ND 77460",Mississippi,Allenmouth,82287,India,"24828 Patricia Mission Suite 329
Catherineland, ND 65608",Indiana,Peterhaven,26982,India,Inactive
